date,servo_index_used,label_shown_by_sketch,uno_pin,physical_servo,reached_90_ok,plus_minus_1deg_ok,plus_minus_5deg_ok,wide_20deg_ok,noise_or_heat,pass,horn_state,notes
2026-08-06,6,Gripper,D11,GRIPPER / CLAW (MG90S - INFERRED),n/a,n/a,n/a,no,not-reported,REGRESSED-was-confirmed,"assembled - horn on, on the arm","REGRESSION. SUPERSEDES the 14:53 row above, which stays true AS OF 14:53 - the operator did watch it open and close then. By ~19:00 the same commands produce NO finger articulation. Four independent lines agree, and they are not a measurement failure: (1) commanded 10 vs 70 gives 21-609 changed px against noise floors of 1-677, never clearing the 4x bar except where the floor was freakishly quiet; (2) GEOMETRY IS IDENTICAL at both commands - prong silhouette area 3226/3264/3244/3274, bbox height 79/80/79/80, median finger span 61/61/62/61; (3) a red/green channel overlay shows EVERY edge of the whole assembly, both prongs plus body plus forearm, fringing green on top and magenta on the bottom - a uniform ~1 px downward sag, where articulating fingers would fringe in OPPOSITE directions and change the gap; (4) J4 and J5 resolve at 96-14000x through the SAME harness, camera and ROI scale in the SAME session. FIRMWARE IS EXONERATED: STA sampled mid-travel shows SET ramping 13-15-18-21-24-26-31-34-37-39-42-46-49-53-56-59-65-68-70 with MOV=1 throughout, ~5.9 deg/s against a commanded 6, so the pulse train on D11 is correct. JTO=0 always - no timeout, no stall reported. OPERATOR'S DIAGNOSIS after checking it by hand, having confirmed it was not bound up and not off the gear, and having moved it manually: 'I think the gear is slipping around the motor shaft.' Consistent with wiring-map.csv's own first_test_note for this joint, 'Linkage loose at first'. MECHANICAL, in the servo output stage. DO NOT record J6 as controllable until it is re-verified after the fix. Evidence: Calibration_Notes/evidence/2026-08-06_motion-verify/."
2026-08-06,3,Elbow,D6,ELBOW (MG996R - INFERRED - pin D6),n/a,n/a,n/a,yes,not-reported,confirmed,"assembled - horn on, on the arm","CAMERA-VERIFIED MOTION, ~19:45 - the FIRST camera check this joint has ever had, and it RESOLVES the earlier no-motion report for the elbow noted on the 04:43 row. Sequence 33->23->33->43->33 at 8 deg/s through the holder daemon's file command channel. Every waypoint parked at the commanded angle with CL=0 MOV=0 JTO=0. Camera: 15963-17807 changed px inside a 300,300,650,610 ROI framing the forearm sweep, against same-waypoint noise floors of 2-40 px, ratios 421-7981x against a pre-committed 4x bar. Silhouette geometry changed on EVERY leg (the blocking shape gate passed 4/4). Returns to home twice with matching geometry - forearm-box dark area 6010 then 6066 then 5959 at the three commanded-33 waypoints. Global shift 24-63 px is EXPECTED and not a confound: the elbow swings the whole distal assembly. SCOPE OF WHAT THIS PROVES: only 23-43 was driven, deliberately +-10 off home rather than the +-15 first planned, because this joint is gravity-loaded and carries the forearm plus wrist plus gripper. The locked 0-66 envelope is NOT re-verified by this run and the region outside 23-43 was not exercised. Evidence: Calibration_Notes/evidence/2026-08-06_motion-verify/ (J3_strip.png, J3_result.json). Harness: Software/tests/motion_verify.py. No angle is derived from pixels - the camera is uncalibrated."
2026-08-06,1,Shoulder,D4+D5,"SHOULDER PAIR (D4 + D5, two MG996R, mirror_mode=inverted)",n/a,n/a,n/a,yes,not-reported,confirmed,assembled - on the arm,"CAMERA-VERIFIED MOTION, ~20:00 - the FIRST camera check of the mirrored shoulder pair, done on the operator's explicit go: 'they work fine and have been tested by me and you just apply caution slow movements'. Driven at 5 deg/s (a third of its configured 15) through the holder daemon's file command channel, MIR=INV OFF=0 as set at daemon startup. Two runs: 1->6->1 (2/2 MOVED) then 1->12->1->12->1 (4/4 MOVED). Every waypoint parked at the commanded angle, CL=0 MOV=0 JTO=0. Camera, whole-arm ROI 300,250,770,600: 24707-33204 changed px against same-waypoint noise floors of 2-44, ratios 754-16369x. 5 deg of shoulder alone moves ~24700 px because the lever is the entire arm. THE PAIR IS NOT FIGHTING - the strongest evidence available short of measuring the offset: positions REPEAT tightly across two cycles (at 12 deg, upper-arm-box dark area 6310 then 6167, bbox_h 133 then 135, med_span 43 then 42; back at 1 deg, area 8357/8153/8185, bbox_h 124/124/124, med_span 59/57/57), with JTO=0 and no stall, buzz or drift. Two MG996R in opposition would show timeouts or creep. NOTE ONE TRANSIENT: the very first move off the bottom stop left a 1467 px settle floor at 6 deg where every later floor was 2-44 px, consistent with the arm still creeping just after its first motion off the stop. SCOPE OF WHAT THIS PROVES: only 1-12 was driven of a locked 0-91 envelope. mirror_offset_deg is STILL 0 and STILL UNMEASURED - repeatable motion over 11 degrees does not measure the true mirror axis, and the offset question is open exactly as before. Evidence: Calibration_Notes/evidence/2026-08-06_motion-verify/ (J1b_strip.png, J1a_result.json, J1b_result.json). Harness: Software/tests/motion_verify.py. No angle derived from pixels - camera uncalibrated."
2026-08-08,0,Base,D3,BASE (replacement MG996R),n/a,n/a,n/a,yes,not-reported,confirmed,assembled - on the arm,"RE-LOCKED 0-180 home 90 on the ASSEMBLED arm at 17:42. Supersedes the 2026-08-05 lock of 29-110 - that one was measured with the servo later found dead and replaced; a new horn seats in whole-tooth splined steps so the old commanded-to-mechanical mapping does not transfer. NOTE the earlier no-motion on this joint today was NOT a dead replacement servo: there was no 5 V reaching the servos. Firmware pulsed D3 correctly (EN=1) the whole time and the shaft free-spun. Worth re-testing the servo that was replaced on 2026-08-06 - if that diagnosis was made under the same no-5V condition it may still be good. Evidence: lock-artifacts/calibration-row-J0_2026-08-08_17-42.csv"
2026-08-08,3,Elbow,D10,ELBOW (MG996R),n/a,n/a,n/a,yes,not-reported,confirmed,assembled - on the arm,"RE-LOCKED 0-30 home 15 at 17:48. THE CONSOLE FILED THIS UNDER J5 WRIST ROLL D10 - the elbow lead was on D10 at the time because the elbow / wrist-pitch / wrist-roll leads had been rewired at the header. The operator watched the ELBOW move and caught the mismatch. Numbers unchanged; label corrected. Supersedes the 2026-08-06 lock of 0-66. Evidence kept unedited as lock-artifacts/calibration-row-J5-as-recorded_2026-08-08_17-48.csv"
2026-08-08,4,Wrist pitch,D6,WRIST PITCH (MG90S),n/a,n/a,n/a,yes,not-reported,confirmed,assembled - on the arm,"RE-LOCKED 33-180 home 90 at 17:42. THE CONSOLE FILED THIS UNDER J3 ELBOW D6 - the wrist-pitch lead was on D6 at the time. The operator watched the WRIST PITCH move. Numbers unchanged; label corrected. Supersedes the 2026-08-06 lock of 0-180 which was flagged SUSPECT for sitting at exactly the placeholder width - 33 is a real found end so the low end is resolved. Evidence kept unedited as lock-artifacts/calibration-row-J3-as-recorded_2026-08-08_17-42.csv"
2026-08-08,5,Wrist roll,D9,WRIST ROLL (MG90S),n/a,n/a,n/a,yes,not-reported,provisional,assembled - on the arm,"0-180 home 90 driven and accepted by the operator on the assembled arm. NO LOCK ARTIFACT was downloaded for this joint - the record is the operator statement alone which is why this row is provisional not confirmed. 0-180 is the full electrical range and no mechanical end was found at either extreme. Supersedes the 2026-08-06 lock of 31-178."
2026-08-08,6,Gripper,D11,GRIPPER (MG90S),n/a,n/a,n/a,yes,not-reported,confirmed,assembled - on the arm,"RE-LOCKED 0-180 home 90 at 17:37. Supersedes the 2026-08-06 lock of 10-70. WATCH: the superseded row warned a gripper closes onto its own linkage and the 5 A rail does not current-limit a stall the way the old 700 mA unit did. If the jaws bind or buzz near either extreme narrow the row and re-lock rather than driving through it. Evidence: lock-artifacts/calibration-row-J6_2026-08-08_17-37.csv"
2026-08-08,,,,ALL - HEADER REWIRING,n/a,n/a,n/a,n/a,n/a,n/a,assembled - on the arm,"WIRING CHANGE: the elbow / wrist-pitch / wrist-roll signal leads were rewired three ways at the Uno header. The pin map moved to match rather than the wires being restored: elbow D6->D10; wrist pitch D9->D6; wrist roll D10->D9. Joint IDs and names did NOT change so every historical row here still describes the same physical joint. Firmware FW=1.1.1 carries the new PIN_A table and the board prints the new map in its own HLP output. This arm now departs from Emre original D3-D11 layout - expect the vendor walkthrough to disagree."
2026-08-08,,,,ALL - POWER,n/a,n/a,n/a,n/a,n/a,n/a,assembled - on the arm,"FUSE FITTED. The 1 A slow-blow inline fuse the gripper row had been demanding since 2026-08-06 is IN. Operator statement, 2026-08-08 evening, in answer to a direct question - not independently verified here, and neither the exact rating marked on the fuse nor its position in the supply path was read back. CLOSES the NO FUSE FITTED YET note on the 2026-08-06 gripper row. WHAT IT CHANGES: the gripper may now be driven across its full locked 0-180 without the narrow-band restriction that was going to be imposed around 90. It does NOT change the WATCH note on that row - a gripper still closes onto its own linkage, and a fuse protects the wiring, not the gearbox. If the jaws bind or buzz near an extreme, narrow the row and re-lock rather than driving through it."
